Category,Sector,Term,Definition,Adapted/Original_Definition,Related_terms,relatedTermIDs,Link_to_reference,DOI,PMID,ISBN,Reference_source,Publication_Title,Year,Authors,Publisher,Journal,Reference_description,Creation_Date,Date_of_change,UUID
Sampling and laboratory testing,Shared Term,accuracy,closeness of estimates to the unknown true values,,,,http://data.europa.eu/eli/reg/2009/223/oj,,,,EU Directive or Regulation,Official Journal of the European Union,2009,,"European Parliament, Council of the European Union",,,"Do., Apr. 4 2019 11:37:38",24.04.2019 02:26:31,accuracy_14a7b371-a796-44f9-85f4-b5bbe0f135c2
Type of study,Food Safety,active surveillance,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),13.05.2019 17:20:18,activesurveillance_9e7aa3bc-66e3-4c12-b287-2d5f746d7dc3
Type of study,Animal Health,active surveillance,"Investigator-initiated collection of animal health related data using a defined protocol to perform actions that are scheduled in advance. Decisions about whether information is collected, and what information should be collected from which animals is made by the investigator.",,,,https://www.fp7-risksur.eu/terminology/glossary,,,,Report,Animal Health Surveillance Terminology Final Report from Pre-ICAHS Workshop,2013,RISKSUR consortium,,,RiskSur,"Do., Apr. 4 2019 11:37:38",,activesurveillance_7b4bbb6e-4975-4629-93c0-2266a70c3412
Type of study,Public Health,active surveillance,public health surveillance based on the public health officials' initiative to contact the physicians laboratory or hospital staff or other relevant sources to report data (i.e. the health agency solicits reports),,,,https://ecdc.europa.eu/sites/portal/files/media/en/publications/Publications/Data-quality-monitoring-surveillance-system-evaluation-Sept-2014.pdf,doi 10.2900/35329,,,ECDC,Data quality monitoring and surveillance system evaluation A handbook of methods and applications,2014,,ECDC,,ECDC CDC glossary,"Do., Apr. 4 2019 11:37:42",,activesurveillance_05d1b83d-bb8f-4245-8cff-c2bf462a9687
Epidemiology,Shared Term,adverse health effect,"A change in the morphology, physiology, growth, development, reproduction or life span of an organism, system, or (sub)population that results in an impairment of functional capacity, an impairment of the capacity to compensate for additional stress, or an increase in susceptibility to other influences.",,,,http://www.fao.org/3/i8608en/I8608EN.pdf,,,978-92-5-130341-2,Codex Alimentarius,Codex Alimentarius Commission Procedural Manual,2018,,WHO and FAO,,,"Do., Apr. 4 2019 11:37:42",24.04.2019 02:47:42,adversehealtheffect_7f2ee4db-5bd2-4434-acb6-1f16616c05ee
Others,Animal Health,aggregate dataset,,,,,,,,,ORION preliminary definition,,,,,,,,,aggregatedataset_1c8c8e96-c173-431c-95f7-c171a6352079
Others,Food Safety,aggregate dataset,,,,,,,,,ORION preliminary definition,,,,,,,,,aggregatedataset_25ad181e-3388-4d96-a217-86aa55d629cc
Data processing and analysis; Dissemiantion,Public Health,aggregate dataset,dataset format that includes information related to a group of people/cases classified under the same category for a disease or health-related event,adapted definition,,,https://ecdc.europa.eu/sites/portal/files/media/en/publications/Publications/Data-quality-monitoring-surveillance-system-evaluation-Sept-2014.pdf,doi 10.2900/35329,,,ECDC,Data quality monitoring and surveillance system evaluation A handbook of methods and applications,2014,,ECDC,,ECDC,"Do., Apr. 4 2019 11:37:38",23.04.2019 02:05:31,aggregatedataset_331150eb-352e-4180-9079-4a600cc019c1
Dissemination,Shared Term,aggregated data,"Data that are expressed in a summary form (e.g., summary statistics)",,,,https://dictionary.casrai.org/Aggregated_data,,,,Website,"The CASRAI Dictionary/ IRIDIUM, the international research data management glossary",,,CASRAI / IRIDIUM,,,Wed Apr 24 2019 12:54:26 GMT+0200 (MESZ)_aggregateddata_SharedTerm_Shared Term,,aggregateddata_56f77e13-b562-4e89-a19c-7be8a55c7cda
Sampling and laboratory testing,Shared Term,alternative method,"An alternative method is a method of analysis that demonstrates or estimates, for a given category of products, the same analyte as is measured using the corresponding reference method.",,,,https://www.nmkl.org/dokumenter/nordval/NordVal-Protocol-1_Micro_September-2018.pdf,,,,NMKL/ NordVal,NordVal International Protocol for the validation of microbiological alternative (proprietary) methods against a reference method – Protocol No. 1,2018,,NMKL/Nordval,,NordVal-protocol,Thu Apr 04 2019 11:37:42 GMT+0200 (MESZ),13.05.2019 17:22:38,alternativemethod_8c295901-eebd-4726-be8e-2fe253f12492
