Term,Domain,Definition,Category,Related terms,Reference description,Reference source,Publication Title,Authors,Jorunal,Year,Volume,Issue,Edition,Publisher,DOI,PMID,Link to reference,Creation Date,Date of change,Comments,Term ID,
(outbreak) case,Animal Health,,Epidemiology,,OIE Glossary,Report,,,,,,,,,,,http://wahis2-devt.oie.int/fileadmin/Home/eng/Health_standards/tahc/2010/en_glossaire.htm,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),e,1551347977800_(outbreak) case_Animal Health,1551347977800
(outbreak) case,Food Safety,person involved in the outbreak as defined by the investigators. This can include both ill people (whether or not disease is confirmed microbiologically) and people with confirmed asymptomatic infections. Case definitions for human cases for most common zoonotic infections established by ECDC may be used as guidance (available online: www.ecdc.europa.eu). Exposure should not be part of a case definition.,Epidemiology,,"EFSA, Manual for reporting on food-borne outbreaks",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978137_(outbreak) case_Food Safety,1551347978137
(surveillance) data harmonization,Common Term,Data harmonization refers to all efforts to combine data from different sources and provide users with a comparable view of data from different studies.,ORION-specific; Data processing and analysis,,,,,,,,,,,,,,https://www.icpsr.umich.edu/icpsrweb/content/DSDR/harmonization.html,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977860_(surveillance) data harmonization_Common Term,1551347977860
(surveillance) data integration,Common Term,"Data integration is a process in which heterogeneous data is retrieved and combined as an incorporated form and structure. Data integration allows different data types (such as data sets, documents and tables) to be merged by users, organizations and applications and to be used for purpose.",ORION-specific; Data processing and analysis,,,,,,,,,,,,,,https://www.techopedia.com/definition/28290/data-integration,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977861_(surveillance) data integration_Common Term,1551347977861
(surveillance) data interoperability,Common Term,"The process of assuring interoperability of data is focused on making sure that data can be processed by different systems. Differently from data standardisation, there is no expectation that data are formatted in the same way (i.e., following the same standards), but data are marked up with the necessary contextual information to allow a machine (a computer, or an analysis system) to understand its meaning and how it can be combined to data from other sources. In the OH context, data interoperability is concerned with making sure that data produced across different health dimensions (food, animal, public and environmental health), and by different actors, can be used within the same surveillance system.",ORION-specific ; Data processing and analysis,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978264_(surveillance) data interoperability_Common Term,1551347978264
(surveillance) data lifecycle,Common Term,"Refers to all the stages in the existence of digital information from creation to destruction. A lifecycle view is used to enable active management of the data objects and resource over time, thus maintaining accessibility and usability.",ORION-specific; Data processing and analysis,,,,,,,,,,,,,,https://dictionary.casrai.org/Category:Research_Data_Domain,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978155_(surveillance) data lifecycle_Common Term,1551347978155
(surveillance) data standardisation,Common Term,"The process of reaching agreement on common data definitions, formats, representation and structures of all data layers and elements.",ORION-specific; Data processing and analysis,,,,,,,,,,,,,,https://stats.oecd.org/glossary/detail.asp?ID=4501,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978267_(surveillance) data standardisation_Common Term,1551347978267
accuracy,Animal Health,closeness of estimates to the unknown true values,Sampling and laboratory testing,,Regulation (EC) No 223/2009 on European statistics and repealing Regulation,,,,,,,,,,,,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32009R0223:EN:NOT,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977839_accuracy_Animal Health,1551347977839
accuracy,Food Safety,The closeness of agreement between a measured quantity value and an assigned quantity value of ananalyte.,Sampling and laboratory testing,,NordVal-protocol,,,,,,,,,,,,https://www.nmkl.org/dokumenter/nordval/NordVal-protocol-No-1_Micro_September-2018.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978214_accuracy_Food Safety,1551347978214
active (proactive) surveillance,Animal Health,"Investigator-initiated collection of animal health related data using a defined protocol to perform actions that are scheduled in advance. Decisions about whether information is collected, and what information should be collected from which animals is made by the investigator.",Type of study,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978092_active (proactive) surveillance_Animal Health,1551347978092
active surveillance,Animal Health,"Investigator-initiated collection of animal health related data using a defined protocol to perform actions that are scheduled in advance. Decisions about whether information is collected, and what information should be collected from which animals is made by the investigator.",Type of study,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978093_active surveillance_Animal Health,1551347978093
active surveillance,Public Health,public health surveillance based on the public health officials' initiative to contact the physicians laboratory or hospital staff or other relevant sources to report data (i.e. the health agency solicits reports),Type of study,,ECDC CDC glossary,,,,,,,,,,,,https://www.cdc.gov/ophss/csels/dsepd/ss1978/glossary.html,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978151_active surveillance_Public Health,1551347978151
